target,name,k,n_common,kth_dist,n_all,rmse_all_model,rmse_all_persistence,mae_all_model,mae_all_persistence,n_normal,rmse_normal_model,rmse_normal_persistence,mae_normal_model,mae_normal_persistence,n_ext,rmse_ext_model,rmse_ext_persistence,mae_ext_model,mae_ext_persistence,n_onset,rmse_onset_model,rmse_onset_persistence,mae_onset_model,mae_onset_persistence,n_extrel,rmse_extrel_model,rmse_extrel_persistence,mae_extrel_model,mae_extrel_persistence
station_12,CITIES@Saadiyat,0,176,0.0,176,9.806562716909822,9.511482175866082,7.85667125423499,7.087727272727273,175,9.569498230854501,9.364058552328077,7.730137046153616,6.990914285714286,1,,,,,1,,,,,18,13.966000605001275,11.94080376040258,12.271237317427826,9.957222222222223
station_12,CITIES@Saadiyat,1,176,8.232023394002065,176,9.854044891724499,9.511482175866082,7.896765101947241,7.087727272727273,175,9.613716267562275,9.364058552328077,7.768956291595493,6.990914285714286,1,,,,,1,,,,,18,13.508208296649565,11.94080376040258,11.767390722817217,9.957222222222223
station_12,CITIES@Saadiyat,2,176,8.390704025772632,176,9.88488952824525,9.511482175866082,7.962109771933345,7.087727272727273,175,9.642469298470523,9.364058552328077,7.833708135680029,6.990914285714286,1,,,,,1,,,,,18,13.46071832689868,11.94080376040258,11.749596094722335,9.957222222222223
station_12,CITIES@Saadiyat,3,176,10.218529814910198,176,9.919917147578897,9.511482175866082,7.900047901637989,7.087727272727273,175,9.669488874385992,9.364058552328077,7.768425586372188,6.990914285714286,1,,,,,1,,,,,18,13.41627753732072,11.94080376040258,11.394370448428608,9.957222222222223
station_12,CITIES@Saadiyat,5,176,14.770757682631226,176,9.985071008311168,9.511482175866082,7.978407986455003,7.087727272727273,175,9.733153034533089,9.364058552328077,7.846120941964385,6.990914285714286,1,,,,,1,,,,,18,13.336623101229753,11.94080376040258,11.277733294734249,9.957222222222223
station_12,CITIES@Saadiyat,8,176,29.418115953844037,176,9.929761899941063,9.511482175866082,7.9657456044794,7.087727272727273,175,9.692411123549778,9.364058552328077,7.838541953484385,6.990914285714286,1,,,,,1,,,,,18,13.116052476966416,11.94080376040258,10.988352797273736,9.957222222222223
station_13,CITIES@Lycee Francais Theodore Monod International School,0,211,0.0,211,9.756336289225423,10.21093765857468,7.907952640555938,7.757582938388625,211,9.756336289225423,10.21093765857468,7.907952640555938,7.757582938388625,0,,,,,0,,,,,22,13.671936356493829,15.398067322645632,11.652191781451666,12.998636363636367
station_13,CITIES@Lycee Francais Theodore Monod International School,1,211,11.602734662645219,211,9.864239706348812,10.21093765857468,8.056058216629525,7.757582938388625,211,9.864239706348812,10.21093765857468,8.056058216629525,7.757582938388625,0,,,,,0,,,,,22,13.407744104678672,15.398067322645632,11.427055526161759,12.998636363636367
station_13,CITIES@Lycee Francais Theodore Monod International School,2,211,11.731253810804482,211,9.82421155828169,10.21093765857468,8.024140891762832,7.757582938388625,211,9.82421155828169,10.21093765857468,8.024140891762832,7.757582938388625,0,,,,,0,,,,,22,13.060943710221885,15.398067322645632,11.195068832540379,12.998636363636367
station_13,CITIES@Lycee Francais Theodore Monod International School,3,211,14.602509327756788,211,9.788035528163656,10.21093765857468,7.95522323427589,7.757582938388625,211,9.788035528163656,10.21093765857468,7.95522323427589,7.757582938388625,0,,,,,0,,,,,22,13.025609517340053,15.398067322645632,11.008268031255668,12.998636363636367
station_13,CITIES@Lycee Francais Theodore Monod International School,5,211,18.059520997726086,211,9.818019231875423,10.21093765857468,7.974099871333491,7.757582938388625,211,9.818019231875423,10.21093765857468,7.974099871333491,7.757582938388625,0,,,,,0,,,,,22,13.091410629599654,15.398067322645632,11.072998978470684,12.998636363636367
station_13,CITIES@Lycee Francais Theodore Monod International School,8,211,31.965170678382517,211,9.824713273115986,10.21093765857468,8.014024242513479,7.757582938388625,211,9.824713273115986,10.21093765857468,8.014024242513479,7.757582938388625,0,,,,,0,,,,,22,13.145142903378717,15.398067322645632,11.176455082367317,12.998636363636367
station_14,CITIES@West Yas Island,0,140,0.0,140,9.97222394273174,10.53031932089431,8.120065716710249,8.237357142857142,139,9.473082255585354,10.31304384657095,7.904669513720183,8.100863309352517,1,,,,,1,,,,,14,14.323880952802018,12.363780050731132,11.575196420163513,9.538571428571428
station_14,CITIES@West Yas Island,1,140,8.483121132450405,140,10.147055019220154,10.53031932089431,8.15259560823261,8.237357142857142,139,9.662029224648716,10.31304384657095,7.938390706656136,8.100863309352517,1,,,,,1,,,,,14,15.030711284649708,12.363780050731132,12.153611226950499,9.538571428571428
station_14,CITIES@West Yas Island,2,140,12.695733474485623,140,10.10930037376521,10.53031932089431,8.125453096351219,8.237357142857142,139,9.622359414343753,10.31304384657095,7.911122348923933,8.100863309352517,1,,,,,1,,,,,14,14.780527163697496,12.363780050731132,11.969759126519902,9.538571428571428
