target,name,K,n_test,persistence,pooled_all,pooled_top3_geo,pooled_top5_geo,pooled_geo_weighted,pooled_rand3,pooled_rand5
station_12,CITIES@Saadiyat,30,565,12.028233342645658,11.553793005885838,11.566356276877434,11.49993618358634,11.522021601860375,11.733812342966624,11.590674508929414
station_12,CITIES@Saadiyat,90,505,12.19209339638352,11.605001680577585,11.647674763673956,11.571835199881173,11.57942193975816,11.774734200010279,11.641455024394554
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,12.133064224454904,11.477422834998531,11.623745505208356,11.448702754341683,11.452890635739045,11.667348612946222,11.522956727807465
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,12.28736598793038,11.600330660778228,11.763871356346465,11.582066174177951,11.582749738155407,11.763716388140361,11.642614472041654
station_14,CITIES@West Yas Island,30,387,12.513374622556636,11.815753338134646,11.774154432056717,11.876165764229333,11.818843766401535,11.912898185805116,11.84538090740092
station_14,CITIES@West Yas Island,90,327,12.535055797770148,11.651933673047127,11.598336141333887,11.695549381617257,11.654770313155332,11.74641261079328,11.677060917877148
station_15,CITIES@Khalifa City 1,30,367,20.42504864771637,18.079347039936817,18.113449633515025,18.04625863219091,18.077896617646722,18.11126713138391,18.105615387503157
station_15,CITIES@Khalifa City 1,90,307,21.486237827058325,18.89124196979036,18.91659227544839,18.83823616126542,18.888466591346734,18.913933603530978,18.91338704212142
station_16,CITIES@Khalifa City 2,30,329,18.518673226090232,16.946990803985784,17.03011766977305,16.909196010044916,16.949472006828454,16.998190572732646,16.97481971817605
station_16,CITIES@Khalifa City 2,90,269,19.31623873352183,17.525909221887918,17.595088322349607,17.474163968549018,17.52631232458201,17.559976878658524,17.54521505869863
station_17,CITIES@Sas Al Nakhl,30,350,10.65030658177098,10.184973061429256,10.51348368085404,10.290695594181802,10.210413422570324,10.333813816849894,10.216378090761562
station_17,CITIES@Sas Al Nakhl,90,290,10.340353608973954,9.889053896570685,10.26957477171457,10.007371625179456,9.918560691013553,10.061975440747263,9.922463885778923
station_18,CITIES@Al Danah,30,310,12.29631412122112,11.336241681449584,11.23027578426678,11.20624824622766,11.257640150885738,11.45077892716036,11.361191588752245
station_18,CITIES@Al Danah,90,271,12.448336111935584,11.461540819004583,11.375436755076507,11.36064847632615,11.390480402880646,11.57561616210354,11.485927031015864
station_19,CITIES@Shakhbout[31],30,327,9.844875007554595,9.558189119261938,9.839522881315256,9.935556222765017,9.637369448196008,9.74508167325936,9.598830953408683
station_19,CITIES@Shakhbout[31],90,267,9.770016963172282,9.415497952369396,9.720897442399949,9.787141077516084,9.500020319870801,9.608775650740956,9.455215771835519
station_20,Abu dhabi al muzoon,30,242,11.300214389467746,10.752456288529237,10.78537923310002,10.754090781829836,10.72568644499672,10.908540062683631,10.789966748899474
station_20,Abu dhabi al muzoon,90,183,11.955186793054745,11.26339024823851,11.327139548115934,11.282426394573738,11.252455155802728,11.342314227036544,11.278480479643603
station_21,CITIES@Bateen-BWA,30,215,16.434843133939836,14.715640792215924,14.689099599331316,14.650891601258326,14.676270946324461,14.762932805191463,14.74086369168974
station_21,CITIES@Bateen-BWA,90,155,17.82374798570897,15.925422812752492,15.907222027945744,15.847060521746924,15.900995894363373,15.90499203323576,15.935087419877473
station_22,Mamsha Azure 3,30,141,13.749459924918883,12.376152419273643,12.384907134114934,12.29427670333437,12.349473066220265,12.368657143538137,12.377641027055216
station_22,Mamsha Azure 3,90,81,12.194108322373465,11.079383943429171,11.189456807183573,11.059407028024587,11.075753484620284,11.093293482674792,11.089872396851657
station_27,Sheleila,30,291,12.555055552695555,11.865082042443216,11.828341670099505,11.756151258636226,11.852222233838956,11.943266693381144,11.880235235201948
station_27,Sheleila,90,231,12.373207019526182,11.573994149771815,11.503777632008477,11.433770179282176,11.5588276660373,11.65840193206024,11.590152142622161
