target,name,hidden,dropout,config,seed,K,n_test,persistence,ridge,lstm
station_13,CITIES@Lycee Francais Theodore Monod International School,32,0.3,h32_d0.3,42,90,534,12.28736598793038,11.600764803222686,11.817317009540277
station_14,CITIES@West Yas Island,32,0.3,h32_d0.3,42,30,387,12.513374622556636,11.816025734865612,11.984706714585583
station_14,CITIES@West Yas Island,32,0.3,h32_d0.3,42,90,327,12.535055797770148,11.652379981007515,11.813510835323925
station_15,CITIES@Khalifa City 1,32,0.3,h32_d0.3,42,30,367,20.42504864771637,18.079328019477362,17.7035195747366
station_15,CITIES@Khalifa City 1,32,0.3,h32_d0.3,42,90,307,21.486237827058325,18.891308009311622,18.44695163073931
station_16,CITIES@Khalifa City 2,32,0.3,h32_d0.3,42,30,329,18.518673226090232,16.947053552743526,16.829457002441377
station_16,CITIES@Khalifa City 2,32,0.3,h32_d0.3,42,90,269,19.31623873352183,17.52611268179311,17.33926769849161
station_17,CITIES@Sas Al Nakhl,32,0.3,h32_d0.3,42,30,350,10.65030658177098,10.185138742956823,10.47058194881791
station_17,CITIES@Sas Al Nakhl,32,0.3,h32_d0.3,42,90,290,10.340353608973954,9.890101105996814,10.142434654157105
station_18,CITIES@Al Danah,32,0.3,h32_d0.3,42,30,310,12.29631412122112,11.337248022489911,11.709926041927156
station_18,CITIES@Al Danah,32,0.3,h32_d0.3,42,90,271,12.448336111935584,11.462228892962159,11.8528662918978
station_19,CITIES@Shakhbout[31],32,0.3,h32_d0.3,42,30,327,9.844875007554595,9.557835903941841,9.691732442798154
station_19,CITIES@Shakhbout[31],32,0.3,h32_d0.3,42,90,267,9.770016963172282,9.416372783598451,9.566593061517729
station_20,Abu dhabi al muzoon,32,0.3,h32_d0.3,42,30,242,11.300214389467746,10.753514988088792,11.043377057984996
station_20,Abu dhabi al muzoon,32,0.3,h32_d0.3,42,90,183,11.955186793054745,11.263740485845197,11.622110557606193
station_21,CITIES@Bateen-BWA,32,0.3,h32_d0.3,42,30,215,16.434843133939836,14.71581803519549,14.347695566694487
station_21,CITIES@Bateen-BWA,32,0.3,h32_d0.3,42,90,155,17.82374798570897,15.925398304044917,15.560230183027855
station_22,Mamsha Azure 3,32,0.3,h32_d0.3,42,30,141,13.749459924918883,12.37614897509997,12.91935327342358
station_22,Mamsha Azure 3,32,0.3,h32_d0.3,42,90,81,12.194108322373465,11.079415674908194,11.76696634309039
station_27,Sheleila,32,0.3,h32_d0.3,42,30,291,12.555055552695555,11.867285728109323,12.101124551519508
station_27,Sheleila,32,0.3,h32_d0.3,42,90,231,12.373207019526182,11.577064739405591,11.844896687916108
station_12,CITIES@Saadiyat,64,0.1,h64_d0.1,42,30,565,12.028233342645658,11.553971487615222,11.74447071588007
