target,name,K,n_test,persistence,lstm_repr,lstm_oracle,ridge_a0.1,ridge_a1.0,ridge_a10.0,ridge_a100.0,ridge_a1000.0
station_12,CITIES@Saadiyat,30,565,12.028233342645658,11.78449906728776,11.738184187453047,11.55361241122949,11.553793005885808,11.555602898891046,11.574061075740294,11.772974623399588
station_12,CITIES@Saadiyat,90,505,12.19209339638352,11.742653762116769,11.766888574322376,11.604840288174138,11.605001680577553,11.606620296736985,11.623236706753083,11.808501529333773
station_13,CITIES@Lycee Francais Theodore Monod International School,30,594,12.133064224454904,11.637988497267251,11.66362332442031,11.477314552439827,11.477422834998523,11.478511141013032,11.489903828195434,11.630557840243663
station_13,CITIES@Lycee Francais Theodore Monod International School,90,534,12.28736598793038,11.814429804832704,11.817317009540275,11.600194394229732,11.600330660778221,11.601698156756195,11.615819795273305,11.778958469149554
station_14,CITIES@West Yas Island,30,387,12.513374622556636,12.261471860508152,11.984706714585585,11.81549645895725,11.815753338134629,11.818321770218857,11.843958318833963,12.08891750112614
station_14,CITIES@West Yas Island,90,327,12.535055797770148,12.164968294666936,11.813510835323925,11.651704684992557,11.651933673047113,11.65422381320452,11.677137263847158,11.899349709199331
station_15,CITIES@Khalifa City 1,30,367,20.42504864771637,17.942871002624166,17.7035195747366,18.079601497096846,18.079347039936827,18.07682144952285,18.053375284848496,17.939595508298105
station_15,CITIES@Khalifa City 1,90,307,21.486237827058325,18.755933483904872,18.44695163073931,18.891578495351627,18.89124196979038,18.887898679234873,18.856562217216293,18.684339100132284
station_16,CITIES@Khalifa City 2,30,329,18.518673226090232,16.99408597756197,16.829457002441377,16.947116284235797,16.94699080398578,16.945749491682662,16.934620411880513,16.9075390859245
station_16,CITIES@Khalifa City 2,90,269,19.31623873352183,17.576837644120637,17.33926769849161,17.526126958265127,17.52590922188791,17.523748315744076,17.503708999285095,17.408250531337348
station_17,CITIES@Sas Al Nakhl,30,350,10.65030658177098,10.109157854519822,10.47058194881791,10.184790533374779,10.184973061429275,10.186799951917973,10.205211560879953,10.392240425166344
station_17,CITIES@Sas Al Nakhl,90,290,10.340353608973954,9.848715578232698,10.142434654157103,9.88883826438531,9.889053896570706,9.891210586615552,9.912800525282615,10.122926140135196
station_18,CITIES@Al Danah,30,310,12.29631412122112,11.707232470391212,11.709926041927156,11.336120994545407,11.336241681449575,11.337452261107721,11.349903183118595,11.492103790520417
station_18,CITIES@Al Danah,90,271,12.448336111935584,11.833485422104255,11.8528662918978,11.461424182452514,11.461540819004574,11.46271102679316,11.474770610507356,11.613802036178841
station_19,CITIES@Shakhbout[31],30,327,9.844875007554595,9.654338510170732,9.691732442798154,9.55801979999835,9.558189119261947,9.5598839003095,9.576973392608584,9.751321275731863
station_19,CITIES@Shakhbout[31],90,267,9.770016963172282,9.59543625130706,9.566593061517729,9.41533713871297,9.415497952369403,9.41710773761725,9.433353443222563,9.599927335068307
station_20,Abu dhabi al muzoon,30,242,11.300214389467746,11.118009357558062,11.043377057984996,10.75235198350233,10.752456288529254,10.753503256579146,10.764340481331795,10.893334637880672
station_20,Abu dhabi al muzoon,90,183,11.955186793054745,11.800476097302557,11.622110557606192,11.26330083103586,11.263390248238533,11.264289340194379,11.273743572558121,11.395353893431725
station_21,CITIES@Bateen-BWA,30,215,16.434843133939836,14.93162151115647,14.347695566694489,14.715879053271877,14.715640792215874,14.713273426729161,14.691060424834172,14.57008383369309
station_21,CITIES@Bateen-BWA,90,155,17.82374798570897,16.139661054496496,15.560230183027857,15.925701978848682,15.925422812752453,15.922648037785807,15.896519716229978,15.74826915600614
station_22,Mamsha Azure 3,30,141,13.749459924918883,13.035579942960664,12.91935327342358,12.376223148379365,12.376152419273645,12.37545434423308,12.36935374868383,12.367363829614012
station_22,Mamsha Azure 3,90,81,12.194108322373465,11.693870312471905,11.76696634309039,11.079330789776025,11.079383943429153,11.079920326625533,11.085743931450232,11.172736571718502
station_27,Sheleila,30,291,12.555055552695555,12.33792986049214,12.101124551519508,11.864800123382409,11.865082042443268,11.867900320342422,11.895982182235185,12.16152807121063
station_27,Sheleila,90,231,12.373207019526182,12.109038879090932,11.844896687916108,11.573745430744912,11.57399414977186,11.57648139173929,11.601345606949463,11.841381368430772
