target,name,model,precision,recall,f1,n_events
station_12,CITIES@Saadiyat,ridge,0.625,0.3389830508474576,0.43956043956043955,59
station_12,CITIES@Saadiyat,persistence,0.5254237288135594,0.5254237288135594,0.5254237288135594,59
station_13,CITIES@Lycee Francais Theodore Monod International School,ridge,0.6764705882352942,0.3770491803278688,0.4842105263157895,61
station_13,CITIES@Lycee Francais Theodore Monod International School,persistence,0.5081967213114754,0.5081967213114754,0.5081967213114754,61
station_14,CITIES@West Yas Island,ridge,0.8,0.32432432432432434,0.46153846153846156,37
station_14,CITIES@West Yas Island,persistence,0.5263157894736842,0.5405405405405406,0.5333333333333333,37
station_15,CITIES@Khalifa City 1,ridge,0.5714285714285714,0.21052631578947367,0.3076923076923077,38
station_15,CITIES@Khalifa City 1,persistence,0.4473684210526316,0.4473684210526316,0.4473684210526316,38
station_16,CITIES@Khalifa City 2,ridge,0.375,0.0967741935483871,0.15384615384615385,31
station_16,CITIES@Khalifa City 2,persistence,0.3870967741935484,0.3870967741935484,0.3870967741935484,31
station_17,CITIES@Sas Al Nakhl,ridge,0.5384615384615384,0.19444444444444445,0.2857142857142857,36
station_17,CITIES@Sas Al Nakhl,persistence,0.4722222222222222,0.4722222222222222,0.4722222222222222,36
station_18,CITIES@Al Danah,ridge,0.6428571428571429,0.3103448275862069,0.4186046511627907,29
station_18,CITIES@Al Danah,persistence,0.5333333333333333,0.5517241379310345,0.5423728813559322,29
station_19,CITIES@Shakhbout[31],ridge,0.6666666666666666,0.21428571428571427,0.32432432432432434,28
station_19,CITIES@Shakhbout[31],persistence,0.4444444444444444,0.42857142857142855,0.43636363636363634,28
station_20,Abu dhabi al muzoon,ridge,0.5,0.36,0.4186046511627907,25
station_20,Abu dhabi al muzoon,persistence,0.52,0.52,0.52,25
station_21,CITIES@Bateen-BWA,ridge,0.4,0.2608695652173913,0.3157894736842105,23
station_21,CITIES@Bateen-BWA,persistence,0.30434782608695654,0.30434782608695654,0.30434782608695654,23
station_22,Mamsha Azure 3,ridge,0.4444444444444444,0.3076923076923077,0.36363636363636365,13
station_22,Mamsha Azure 3,persistence,0.3076923076923077,0.3076923076923077,0.3076923076923077,13
station_27,Sheleila,ridge,0.5,0.19047619047619047,0.27586206896551724,21
station_27,Sheleila,persistence,0.4090909090909091,0.42857142857142855,0.4186046511627907,21
